images/tile256.raw,4,0,0,0,100,0,0,100,0,25,0,0,25,0,5,20,5,20,0,0,0,0,1,0
images/tile256.raw,4,20,0,0,30,2,0,30,2,7,20,0,7,0,0,1,0,1,1.4,0,1.4,-0.196,0.98,0
images/tile256.raw,4,30,2,0,40,0,0,40,0,7,30,2,7,0,0,1,0,1,1.4,0,1.4,0.196,0.98,0
images/tile256.raw,4,0,4,7.5,0,4,25,8,0,25,8,0,7.5,3.5,1.75,0,1.75,0,0,3.5,0,0,1,0
images/blick256x256.raw,4,0,0,0,100,0,0,100,10,0,0,10,0,0,10,100,10,100,0,0,0,0,0,1
images/blick256x256.raw,4,0,0,25,100,0,25,100,10,25,0,10,25,0,10,100,10,100,0,0,0,0,0,-1
images/blick256x256.raw,4,0,0,7.5,80,0,7.5,80,10,7.5,0,10,7.5,0,10,100,10,100,0,0,0,0,0,1
images/blick256x256.raw,4,0,0,7,80,0,7,80,10,7,0,10,7,0,10,100,10,100,0,0,0,0,0,-1
images/blick256x256.raw,4,80,0,7,80,0,7.5,80,10,7.5,80,10,7,0,10,1,10,1,0,0,0,1,0,0
images/blick256x256.raw,4,0,0,0,0,0,7.5,0,10,7.5,0,10,0,0,10,5,10,5,0,0,0,1,0,0
images/blick256x256.raw,4,100,0,0,100,0,25,100,10,25,100,10,0,0,10,20,10,20,0,0,0,-1,0,0
images/paperman_logo.raw,4,0,4,7.5,0,4,25,0,10,25,0,10,7.5,1,1,0,1,0,0,1,0,1,0,0
images/door.raw,4,99.9,0,5,99.9,4,5,99.9,4,7,99.9,0,7,0,1,0,0,0.37,0,0.37,1,-1,0,0
images/stone.raw,4,79,0,7.5,79,0,14,79,6,14,79,6,7.5,0,1,0,0,1,0,1,1,1,0,0
images/stone.raw,4,78.5,0,7.5,78.5,0,14,78.5,6,14,78.5,6,7.5,0,1,0,0,1,0,1,1,-1,0,0
images/stone.raw,4,78.5,0,14,78.5,6,14,79,6,14,79,0,14,0,1,0,0,1,0,1,1,0,0,1
images/stone.raw,4,72,0,7.5,72,0,14,72,6,14,72,6,7.5,0,1,0,0,1,0,1,1,1,0,0
images/stone.raw,4,71.5,0,7.5,71.5,0,14,71.5,6,14,71.5,6,7.5,0,1,0,0,1,0,1,1,-1,0,0
images/stone.raw,4,71.5,0,14,71.5,6,14,72,6,14,72,0,14,0,1,0,0,1,0,1,1,0,0,1
images/stone.raw,4,70,6,7.5,80,6,7.5,80,6,15,70,6,15,0,1,0,0,1,0,1,1,0,-1,0
images/stone.raw,4,70,6,7.5,70,6,15,70,7,15,70,7,7.5,0,1,0,0,1,0,1,1,-1,0,0
images/stone.raw,4,70,6,15,70,7,15,80,7,15,80,6,15,0,1,0,0,1,0,1,1,0,0,1
images/stone.raw,4,80,6,7.5,80,6,15,80,7,15,80,7,7.5,0,1,0,0,1,0,1,1,1,0,0
images/hayate.raw,4,60,0,21,60,0,20,60,2.5,20,60,2.5,21,0,1,0.7,1,0.7,0,0,0,1,0,0
images/tina.raw,4,50,0,12,50,0,11,50,2.5,11,50,2.5,12,0,1,0.7,1,0.7,0,0,0,1,0,0
images/mily.raw,4,20,0,16,20,0,17,20,1.7,17,20,1.7,16,0,1,0.7,1,0.7,0,0,0,1,0,0
images/gay.raw,4,35,0,18,35,0,19,35,2.5,19,35,2.5,18,0,1,0.7,1,0.7,0,0,0,1,0,0
images/terisia.raw,4,40,0,8,40,0,9,40,2.5,9,40,2.5,8,0,1,0.6,1,0.6,0,0,0,1,0,0
